,sigma,Rlasso avg,Rlasso sd,Rlasso support,Rlasso post avg,Rlasso post sd,Rlasso post support,Sqrt-rlasso avg,Sqrt-rlasso sd,Sqrt-rlasso support,Sqrt-rlasso post avg,Sqrt-rlasso post sd,Sqrt-rlasso post support
0,0.3,2.4898552597259593,1.1435275121033215,5.095,1.0729168103433075,0.31066434013216354,5.095,3.371135090112422,1.6806477468654655,5.002,1.0016880552666867,0.05153900225532568,5.002
1,0.5454545454545454,2.50518007846845,1.1809943001057805,5.099,1.078040790833114,0.30728425551448046,5.099,3.4009753274045864,1.737596267727152,5.003,1.0059281787132432,0.13514463229859103,5.003
2,0.790909090909091,2.4836269663941377,1.0495465757716063,5.105,1.0716530900090133,0.254917515591114,5.105,3.3563043047042633,1.5508794797666363,5.002,1.0014525353687944,0.0339595293052215,5.002
3,1.0363636363636364,2.4715836145797385,1.0986356074062311,5.082,1.0592538118953985,0.2532700226094761,5.082,3.339375822430894,1.6290098803337023,4.997,1.0111008470398266,0.14437704279622332,4.997
4,1.281818181818182,2.4732116670301663,1.1032379443304419,5.08,1.0674890671336092,0.30668608850102813,5.08,3.3274496680553085,1.6253912176665757,4.964,1.0947242092964553,0.5357577798335048,4.964
5,1.5272727272727276,2.5071656758711542,1.1404988402861795,5.077,1.0978909818531288,0.344241586990367,5.077,3.3229989083668325,1.6129710288402905,4.786,1.3791066186260115,1.0047851580166893,4.786
6,1.772727272727273,2.4512785486853046,1.0378097963357638,5.024,1.14694809797927,0.47204449093653417,5.024,3.200799645634337,1.4562757033134994,4.581,1.6209401142213276,1.1049740117644788,4.581
7,2.018181818181818,2.4302396683560903,0.9823297176621038,4.901,1.2378288350292321,0.5481654086631089,4.901,3.107637913371622,1.3138999344859597,4.292,1.9098698004832755,1.1342414998148038,4.292
8,2.2636363636363637,2.435042615451445,1.079025723698444,4.664,1.398173105416065,0.661243634054406,4.664,3.004950451318459,1.4240647338896844,3.84,2.228356163527363,1.219778300569158,3.84
9,2.5090909090909093,2.383919222162052,1.139256460052881,4.392,1.598728215077435,0.7946574507490954,4.392,2.8699544703057316,1.4407682714259962,3.449,2.3884298503745325,1.25486993077791,3.449
10,2.754545454545455,2.3175924875999208,1.039937067867364,4.206,1.6471649362898784,0.7869325591640965,4.206,2.7557017415487226,1.2796509405693142,3.211,2.396291089338705,1.1672613867793376,3.211
11,3.0,2.243008934953017,1.1181266589485337,3.893,1.750432700814029,0.8656898057658928,3.893,2.617166623465432,1.3252458330277714,2.821,2.4548878751392795,1.298848020418955,2.821
